f1,precision,recall,auc,collateral_fpr_benign,dataset,attack,config,n_attack,n_benign
0.05032717150970291,0.0258131368372575,1.0,0.5629358347882683,0.8741283304234635,cicids2017,GoldenEye,a_ml_sem_ontologia,7472,322658
1.0,1.0,1.0,1.0,0.0,cicids2017,GoldenEye,d_completo,7472,322658
0.48163117572540265,0.5351206434316353,0.4378633322364813,0.7221353101997791,0.03582718651211802,cicids2017,Hulk,a_ml_sem_ontologia,30391,322658
1.0,1.0,1.0,1.0,0.0,cicids2017,Hulk,d_completo,30391,322658
0.22590673575129533,0.32781954887218046,0.17233201581027668,0.6336592473613809,0.004617864005454658,cicids2017,Slowhttptest,a_ml_sem_ontologia,4217,322658
1.0,1.0,1.0,1.0,0.0,cicids2017,Slowhttptest,d_completo,4217,322658
0.027816379736077455,0.0141043559282553,1.0,0.5820792033234066,0.874500242776119,cicids2017,Slowloris,a_ml_sem_ontologia,4035,322658
1.0,1.0,1.0,1.0,0.0,cicids2017,Slowloris,d_completo,4035,322658
0.7287111447337631,0.5741853028688049,0.9970351397343906,0.5169585089635226,0.9716660326682113,cic-iot-2023,HTTP-Flood,a_ml_sem_ontologia,380004,289170
0.9527052495605954,0.9210649152833851,0.9865967263732215,0.9643036876749266,0.1111111111111111,cic-iot-2023,HTTP-Flood,d_completo,380004,289170
0.18056814747657904,0.8358591746327816,0.10121686100680426,0.5539516165472312,0.008115180228469989,cic-iot-2023,Slowloris,a_ml_sem_ontologia,118063,289170
0.938007282937744,0.972997572815534,0.905446229424885,0.9910866595402134,0.010259247732014616,cic-iot-2023,Slowloris,d_completo,118063,289170
