f1,precision,recall,auc,collateral_fpr_benign,dataset,attack,config,n_attack,n_benign
0.9979933110367893,0.9977708426214891,0.9982158786797503,0.9995507740953443,5.165449342438299e-05,cicids2017,GoldenEye,a_ml_sem_ontologia,7472,322658
0.999553770638108,1.0,0.9991079393398751,1.0,0.0,cicids2017,GoldenEye,d_completo,7472,322658
0.9987384125939334,0.9989027869212201,0.9985740923549413,0.9999991252197662,0.00010330791958511539,cicids2017,Hulk,a_ml_sem_ontologia,30391,322658
1.0,1.0,1.0,1.0,0.0,cicids2017,Hulk,d_completo,30391,322658
0.9874509803921568,0.9797665369649805,0.9952569169960475,0.9995069476413413,0.00026860059092130003,cicids2017,Slowhttptest,a_ml_sem_ontologia,4217,322658
1.0,1.0,1.0,1.0,0.0,cicids2017,Slowhttptest,d_completo,4217,322658
0.9971157807993407,0.9950657894736842,0.9991742361684558,0.9999982341073264,6.198539210925958e-05,cicids2017,Slowloris,a_ml_sem_ontologia,4035,322658
1.0,1.0,1.0,1.0,0.0,cicids2017,Slowloris,d_completo,4035,322658
0.9937914379802415,0.9949010092485142,0.9926843388712479,0.9988759805003139,0.00668580189277357,cic-iot-2023,HTTP-Flood,a_ml_sem_ontologia,380004,289170
0.9962789391466134,0.9967688120115902,0.9957895475517974,0.9997529810423625,0.004242026028518403,cic-iot-2023,HTTP-Flood,d_completo,380004,289170
0.9351887152115897,0.9728484700570488,0.9003359778649878,0.9799628551163937,0.010259247732014616,cic-iot-2023,Slowloris,a_ml_sem_ontologia,118063,289170
0.9767095851216023,0.9899944897189756,0.9637765041361981,0.997983442490228,0.003976899401736003,cic-iot-2023,Slowloris,d_completo,118063,289170
