rf|a_ml_sem_ontologia,hgb|a_ml_sem_ontologia,mlp|a_ml_sem_ontologia,logreg|a_ml_sem_ontologia,rf|b_ontologia_sem_related,hgb|b_ontologia_sem_related,mlp|b_ontologia_sem_related,logreg|b_ontologia_sem_related,rf|c_so_network_proximity,hgb|c_so_network_proximity,mlp|c_so_network_proximity,logreg|c_so_network_proximity,rf|d_completo,hgb|d_completo,mlp|d_completo,logreg|d_completo,K,seed
0.4557777777777778,0.5071111111111111,0.5053333333333334,0.5295555555555556,0.5427777777777778,0.5071111111111111,0.5431111111111111,0.5295555555555556,0.5245555555555556,0.5197777777777777,0.5713333333333334,0.5664444444444445,1.0,1.0,1.0,1.0,50,1
0.4873333333333333,0.49133333333333334,0.45866666666666667,0.4242222222222223,0.47744444444444445,0.49133333333333334,0.4471111111111111,0.4242222222222223,0.4561111111111111,0.48333333333333334,0.49244444444444446,0.3891111111111111,0.9473333333333334,0.9348888888888889,0.8471111111111111,0.9546666666666667,50,2
0.5291111111111111,0.49822222222222223,0.34755555555555556,0.49955555555555553,0.5106666666666666,0.49822222222222223,0.39244444444444454,0.49955555555555553,0.49777777777777776,0.45466666666666666,0.3937777777777777,0.5195555555555555,0.9866666666666667,0.935111111111111,0.7582222222222222,0.9333333333333333,50,3
0.40111111111111114,0.44666666666666666,0.5,0.5231111111111111,0.45799999999999996,0.44666666666666666,0.5346666666666666,0.5231111111111111,0.4275555555555555,0.438,0.596,0.5566666666666666,0.9095555555555557,0.8973333333333334,0.8766666666666667,0.9080000000000001,50,4
0.4692222222222222,0.4813333333333333,0.3884444444444445,0.4602222222222222,0.447,0.4813333333333333,0.6864444444444445,0.4602222222222222,0.4781111111111111,0.5031111111111111,0.6837777777777778,0.5026666666666666,0.9465555555555556,0.9305555555555557,0.9,0.9382222222222222,50,5
0.5871111111111111,0.674,0.5137777777777778,0.5317777777777778,0.6258888888888889,0.674,0.49066666666666664,0.5317777777777778,0.5776666666666667,0.6393333333333333,0.5237777777777778,0.5506666666666666,0.9514444444444445,0.9675555555555555,0.8497777777777777,0.955111111111111,50,6
0.4221111111111111,0.5317777777777777,0.5806666666666667,0.39111111111111113,0.4364444444444444,0.5317777777777777,0.42066666666666663,0.39111111111111113,0.44533333333333336,0.5417777777777778,0.45511111111111113,0.43333333333333335,0.9008888888888889,0.9464444444444444,0.8028888888888889,0.9384444444444444,50,7
0.585,0.5095555555555555,0.45466666666666666,0.4464444444444444,0.5508888888888889,0.5095555555555555,0.48311111111111105,0.4464444444444444,0.5253333333333333,0.5111111111111111,0.5291111111111111,0.476,1.0,1.0,0.7666666666666667,1.0,50,8
0.554,0.5937777777777777,0.3993333333333333,0.4968888888888889,0.5632222222222223,0.5937777777777777,0.5573333333333333,0.4968888888888889,0.5537777777777778,0.6375555555555557,0.5744444444444445,0.5217777777777778,0.9527777777777777,0.975111111111111,0.8957777777777778,0.9508888888888889,50,9
0.4882222222222222,0.5262222222222223,0.49266666666666664,0.5031111111111111,0.4925555555555555,0.5262222222222223,0.49333333333333335,0.5031111111111111,0.5415555555555556,0.5215555555555556,0.5371111111111111,0.5257777777777778,1.0,0.9999999999999999,0.8902222222222222,1.0,50,10
0.6211111111111112,0.5882222222222223,0.5395555555555556,0.5873333333333334,0.5943333333333333,0.5882222222222223,0.45866666666666667,0.5873333333333334,0.6087777777777776,0.5851111111111111,0.46266666666666667,0.608,1.0,1.0,0.8964444444444445,1.0,50,11
0.5483333333333333,0.47844444444444445,0.5811111111111111,0.5293333333333334,0.5652222222222222,0.47844444444444445,0.5093333333333334,0.5293333333333334,0.5617777777777778,0.48377777777777775,0.47155555555555556,0.5066666666666666,1.0,1.0,1.0,1.0,50,12
0.5015555555555556,0.5502222222222222,0.5933333333333333,0.5008888888888889,0.5653333333333334,0.5502222222222222,0.39511111111111114,0.5008888888888889,0.5886666666666667,0.5884444444444444,0.4391111111111111,0.5228888888888888,0.9445555555555556,0.8495555555555555,0.8271111111111111,0.8886666666666667,50,13
