a_ml_sem_ontologia,b_ontologia_sem_related,c_so_network_proximity,d_completo,mit_attack_cov,mit_collateral,mit_ja4_in_scope,enr_attack_cov,enr_collateral,enr_ja4_in_scope,enr_n_ja4,mit_global_collateral,benign_head_share,benign_ja4_distinct,share_ja4_attack,share_ja4_benign,ja4_overlap,alpha,stacks,adversarial,K,seed
0.4645500000000001,0.4730388888888889,0.655,0.9959722222222221,0.892,0.0,True,0.892,0.0,True,1,1.0,0.378,141,789.44,167.232,0,1.5,1,False,1000,15
0.4789166666666667,0.4769222222222222,0.6426444444444445,0.9932944444444444,0.0,0.412,True,0.889,0.0,True,5,1.0,0.412,117,158.498,197.256,0,1.5,5,False,1000,1
0.5176888888888888,0.5103666666666666,0.6862166666666667,0.9967444444444444,0.0,0.424,True,0.89,0.0,True,5,1.0,0.424,124,158.184,205.668,0,1.5,5,False,1000,2
0.47105555555555556,0.47422777777777775,0.6574722222222222,0.9956277777777778,0.0,0.379,True,0.894,0.0,True,5,1.0,0.379,123,159.776,175.946,0,1.5,5,False,1000,3
0.5265833333333334,0.5219388888888888,0.6729999999999999,0.9969666666666667,0.0,0.363,True,0.906,0.0,True,5,1.0,0.363,127,162.67,159.934,0,1.5,5,False,1000,4
0.5025666666666666,0.49802222222222214,0.6386333333333334,0.9960277777777778,0.0,0.415,True,0.909,0.0,True,5,1.0,0.415,125,163.84,196.248,0,1.5,5,False,1000,5
0.5151444444444444,0.5143333333333333,0.6319388888888889,0.9944555555555555,0.0,0.385,True,0.894,0.0,True,5,1.0,0.385,127,159.83,175.188,0,1.5,5,False,1000,6
0.5048277777777778,0.5058999999999999,0.6481833333333336,0.9982111111111112,0.0,0.356,True,0.915,0.0,True,5,1.0,0.356,133,166.544,158.29,0,1.5,5,False,1000,7
0.5142666666666666,0.5095777777777778,0.6276555555555555,0.9955111111111111,0.0,0.398,True,0.895,0.0,True,5,1.0,0.398,126,159.042,184.07,0,1.5,5,False,1000,8
0.49249999999999994,0.4963388888888889,0.6632,0.994388888888889,0.0,0.389,True,0.923,0.0,True,5,1.0,0.389,134,169.658,182.032,0,1.5,5,False,1000,9
0.5080388888888889,0.51115,0.6614777777777778,0.9965666666666667,0.0,0.405,True,0.907,0.0,True,5,1.0,0.405,127,163.484,190.356,0,1.5,5,False,1000,10
0.4795722222222222,0.4632444444444445,0.6292333333333334,0.9953166666666666,0.0,0.393,True,0.891,0.0,True,5,1.0,0.393,138,158.764,177.92,0,1.5,5,False,1000,11
0.48282222222222226,0.48964444444444444,0.6649000000000003,0.9989444444444445,0.0,0.394,True,0.899,0.0,True,5,1.0,0.394,108,161.758,180.666,0,1.5,5,False,1000,12
0.45949999999999996,0.4665055555555555,0.6533388888888889,0.9967722222222223,0.0,0.394,True,0.899,0.0,True,5,1.0,0.394,113,160.528,185.01,0,1.5,5,False,1000,13
0.4978833333333333,0.4949611111111111,0.6374111111111113,0.9935722222222222,0.0,0.365,True,0.899,0.0,True,5,1.0,0.365,141,161.148,167.31,0,1.5,5,False,1000,14
0.49069444444444443,0.48794999999999994,0.6807222222222222,0.9948222222222223,0.0,0.378,True,0.895,0.0,True,5,1.0,0.378,141,160.064,170.236,0,1.5,5,False,1000,15
0.524188888888889,0.5224055555555556,0.6545777777777778,0.9850111111111111,0.0,0.412,True,0.876,0.0,True,24,1.0,0.412,117,32.164,197.256,0,1.5,25,False,1000,1
0.4952388888888889,0.5012611111111112,0.6416,0.9828833333333333,0.0,0.424,True,0.908,0.0,True,25,1.0,0.424,124,32.56,205.668,0,1.5,25,False,1000,2
0.5239444444444445,0.5149055555555556,0.6727611111111113,0.982138888888889,0.0,0.379,True,0.89,0.0,True,25,1.0,0.379,123,31.562,175.946,0,1.5,25,False,1000,3
0.5058111111111111,0.49512222222222224,0.6876944444444445,0.97985,0.0,0.363,True,0.916,0.0,True,25,1.0,0.363,127,33.8,161.434,0,1.5,25,False,1000,4
0.4923833333333333,0.4892222222222223,0.6337722222222222,0.9853333333333334,0.0,0.415,True,0.895,0.0,True,25,1.0,0.415,125,31.842,196.248,0,1.5,25,False,1000,5
0.50345,0.50045,0.645411111111111,0.95765,0.0,0.385,True,0.893,0.0,True,25,1.0,0.385,127,31.518,175.188,0,1.5,25,False,1000,6
0.5250388888888889,0.5275666666666667,0.669688888888889,0.9862777777777777,0.0,0.356,True,0.919,0.0,True,25,1.0,0.356,133,33.46,158.29,0,1.5,25,False,1000,7
0.47130555555555553,0.4666111111111111,0.6352944444444444,0.9624055555555555,0.0,0.398,True,0.888,0.0,True,25,1.0,0.398,126,31.718,184.07,0,1.5,25,False,1000,8
0.5212888888888889,0.5002833333333333,0.6494388888888889,0.9868611111111111,0.0,0.389,True,0.915,0.0,True,25,1.0,0.389,134,33.026,182.032,0,1.5,25,False,1000,9
0.4959944444444444,0.5001222222222222,0.6279722222222223,0.9775055555555556,0.0,0.405,True,0.91,0.0,True,25,1.0,0.405,127,34.012,190.82,0,1.5,25,False,1000,10
0.50775,0.5082111111111111,0.7005722222222223,0.98725,0.0,0.393,True,0.903,0.0,True,25,1.0,0.393,138,32.146,176.268,0,1.5,25,False,1000,11
