rf|a_ml_sem_ontologia,hgb|a_ml_sem_ontologia,mlp|a_ml_sem_ontologia,logreg|a_ml_sem_ontologia,rf|b_ontologia_sem_related,hgb|b_ontologia_sem_related,mlp|b_ontologia_sem_related,logreg|b_ontologia_sem_related,rf|c_so_network_proximity,hgb|c_so_network_proximity,mlp|c_so_network_proximity,logreg|c_so_network_proximity,rf|d_completo,hgb|d_completo,mlp|d_completo,logreg|d_completo,K,seed
0.5898888888888889,0.5504444444444445,0.5386666666666666,0.5731111111111111,0.6353333333333333,0.5504444444444445,0.4826666666666667,0.5731111111111111,0.6561111111111111,0.608,0.5231111111111111,0.6006666666666666,0.9071111111111112,0.9011111111111111,0.27844444444444444,0.8931111111111111,50,1
0.4562222222222222,0.4915555555555555,0.5008888888888888,0.5,0.4338888888888889,0.4915555555555555,0.5551111111111111,0.5,0.42499999999999993,0.5233333333333332,0.44888888888888895,0.45911111111111114,0.9431111111111111,0.9426666666666668,0.24155555555555555,0.8448888888888889,50,2
0.4838888888888889,0.5015555555555555,0.3571111111111111,0.4571111111111111,0.45199999999999996,0.5015555555555555,0.4128888888888889,0.4571111111111111,0.46900000000000003,0.49977777777777777,0.46488888888888885,0.4797777777777778,0.9446666666666668,0.9426666666666667,0.21,0.8544444444444445,50,3
0.4454444444444445,0.41822222222222216,0.5695555555555555,0.43377777777777776,0.42288888888888887,0.41822222222222216,0.47000000000000003,0.43377777777777776,0.5211111111111111,0.49955555555555553,0.48288888888888887,0.46266666666666667,0.9086666666666666,0.9057777777777778,0.25533333333333336,0.9095555555555557,50,4
0.5452222222222223,0.6668888888888889,0.4726666666666666,0.48422222222222217,0.5797777777777778,0.6668888888888889,0.4375555555555556,0.48422222222222217,0.601,0.6835555555555556,0.5106666666666667,0.5213333333333333,0.9394444444444444,0.9333333333333332,0.23933333333333334,0.8557777777777777,50,5
0.5622222222222222,0.5986666666666667,0.3593333333333334,0.5219999999999999,0.5997777777777777,0.5986666666666667,0.5097777777777778,0.5219999999999999,0.5514444444444444,0.6253333333333333,0.506,0.5008888888888889,0.8993333333333333,0.9002222222222223,0.24844444444444447,0.8546666666666667,50,6
0.5592222222222222,0.5175555555555555,0.3595555555555556,0.5417777777777778,0.5945555555555555,0.5175555555555555,0.4828888888888889,0.5417777777777778,0.5887777777777778,0.5186666666666667,0.51,0.5653333333333334,0.9205555555555555,0.9346666666666668,0.20466666666666664,0.8695555555555556,50,7
0.29155555555555557,0.3224444444444444,0.49844444444444447,0.4871111111111111,0.3382222222222222,0.3224444444444444,0.4117777777777778,0.4871111111111111,0.3385555555555556,0.2982222222222222,0.4415555555555556,0.5257777777777778,0.9147777777777778,0.8895555555555554,0.26422222222222225,0.7942222222222223,50,8
0.5071111111111111,0.6366666666666667,0.5546666666666668,0.5148888888888888,0.5625555555555555,0.6366666666666667,0.536888888888889,0.5148888888888888,0.6205555555555555,0.6488888888888888,0.5797777777777777,0.530888888888889,0.9271111111111111,0.9404444444444444,0.2975555555555556,0.8855555555555555,50,9
0.5231111111111111,0.516,0.5551111111111111,0.4477777777777777,0.5001111111111111,0.516,0.4782222222222222,0.4477777777777777,0.5267777777777778,0.5211111111111111,0.602,0.5015555555555555,0.8995555555555556,0.9026666666666666,0.25866666666666666,0.8991111111111111,50,10
0.5612222222222223,0.59,0.40333333333333327,0.4995555555555556,0.5007777777777778,0.59,0.3708888888888889,0.4995555555555556,0.5417777777777777,0.5695555555555556,0.412,0.4824444444444444,0.9548888888888889,0.9251111111111111,0.1864444444444444,0.8926666666666667,50,11
0.5758888888888889,0.591111111111111,0.4342222222222223,0.5913333333333333,0.5721111111111111,0.591111111111111,0.5591111111111111,0.5913333333333333,0.563888888888889,0.5868888888888888,0.5357777777777778,0.5728888888888889,0.9441111111111111,0.9351111111111111,0.2051111111111111,0.9237777777777778,50,12
0.5598888888888889,0.6041111111111112,0.4413333333333333,0.37377777777777776,0.5612222222222222,0.6041111111111112,0.4986666666666667,0.37377777777777776,0.5212222222222223,0.6112222222222221,0.5917777777777777,0.40733333333333327,0.9308888888888889,0.9224444444444444,0.21866666666666668,0.8771111111111112,50,13
0.38822222222222225,0.3535555555555555,0.5931111111111111,0.5253333333333333,0.3983333333333333,0.3535555555555555,0.4331111111111111,0.5253333333333333,0.356,0.4142222222222222,0.46555555555555556,0.5075555555555555,0.9064444444444445,0.8935555555555557,0.1831111111111111,0.8697777777777778,50,14
0.6671111111111112,0.6084444444444445,0.4875555555555555,0.44399999999999995,0.6452222222222223,0.6084444444444445,0.40155555555555555,0.44399999999999995,0.6452222222222223,0.6084444444444445,0.408,0.44222222222222224,0.9327777777777777,0.9248888888888889,0.23844444444444443,0.8353333333333335,50,15
0.48277777777777775,0.4776666666666667,0.45066666666666666,0.4668888888888889,0.5038888888888889,0.4776666666666667,0.5008888888888889,0.4668888888888889,0.4851111111111111,0.45588888888888895,0.5006666666666667,0.4391111111111111,0.9301111111111111,0.9393333333333334,0.24688888888888888,0.8888888888888888,50,16
0.6284444444444444,0.6422222222222222,0.5102222222222222,0.5068888888888889,0.6042222222222222,0.6422222222222222,0.45822222222222225,0.5068888888888889,0.6502222222222223,0.6157777777777778,0.39422222222222225,0.512888888888889,0.9458888888888888,0.9306666666666668,0.23088888888888887,0.8933333333333334,50,17
0.5153333333333333,0.46466666666666673,0.3277777777777778,0.5835555555555556,0.5348888888888889,0.46466666666666673,0.498,0.5835555555555556,0.5331111111111111,0.4813333333333333,0.468,0.6022222222222222,0.9268888888888889,0.9011111111111111,0.19977777777777778,0.931111111111111,50,18
0.32311111111111107,0.3204444444444444,0.3802222222222222,0.5502222222222222,0.3292222222222222,0.3204444444444444,0.5291111111111111,0.5502222222222222,0.3182222222222222,0.3204444444444444,0.5291111111111111,0.524,0.9453333333333334,0.9351111111111111,0.26088888888888895,0.8142222222222222,50,19
0.49233333333333335,0.552,0.5471111111111111,0.5171111111111111,0.45955555555555555,0.552,0.5264444444444444,0.5171111111111111,0.41244444444444445,0.5575555555555556,0.46599999999999997,0.5113333333333333,0.9323333333333332,0.928888888888889,0.24044444444444446,0.9008888888888889,50,20
0.4588888888888889,0.4682222222222222,0.42688888888888893,0.51,0.3938888888888889,0.4682222222222222,0.45088888888888884,0.51,0.34977777777777774,0.4537777777777777,0.4375555555555556,0.4926666666666667,0.9515555555555555,0.9415555555555555,0.18044444444444444,0.8884444444444445,50,21
0.4983333333333334,0.5524444444444444,0.5317777777777778,0.472,0.5597777777777778,0.5524444444444444,0.5088888888888888,0.472,0.5077777777777778,0.5700000000000001,0.4755555555555555,0.48022222222222216,0.893,0.8613333333333334,0.24177777777777776,0.8368888888888889,50,22
0.4862222222222222,0.5664444444444444,0.4917777777777778,0.5486666666666666,0.5354444444444444,0.5664444444444444,0.5484444444444444,0.5486666666666666,0.4983333333333333,0.5495555555555556,0.5515555555555556,0.5406666666666666,0.9636666666666667,0.9737777777777779,0.23222222222222225,0.8975555555555557,50,23
0.4388888888888889,0.412,0.5960000000000001,0.38666666666666666,0.4682222222222222,0.412,0.47755555555555557,0.38666666666666666,0.4872222222222222,0.39755555555555555,0.5004444444444445,0.41444444444444445,0.8865555555555554,0.9304444444444444,0.21111111111111114,0.8433333333333333,50,24
0.40955555555555556,0.35888888888888887,0.4388888888888889,0.4697777777777778,0.408,0.35888888888888887,0.508888888888889,0.4697777777777778,0.36644444444444446,0.362,0.5673333333333334,0.5042222222222221,0.9457777777777777,0.9402222222222223,0.25177777777777777,0.904,50,25
0.4842222222222222,0.5135555555555555,0.42933333333333334,0.40755555555555556,0.4881111111111111,0.5135555555555555,0.5735555555555556,0.40755555555555556,0.4967777777777778,0.5375555555555556,0.5673333333333332,0.42999999999999994,0.923111111111111,0.9131111111111111,0.27199999999999996,0.8211111111111111,50,26
0.5357777777777778,0.46799999999999997,0.502,0.3737777777777778,0.4582222222222222,0.46799999999999997,0.46199999999999997,0.3737777777777778,0.5096666666666667,0.512,0.5637777777777777,0.41955555555555557,0.9381111111111111,0.937111111111111,0.28200000000000003,0.8762222222222222,50,27
0.5638888888888889,0.5331111111111111,0.43288888888888893,0.5153333333333334,0.5737777777777777,0.5331111111111111,0.5042222222222222,0.5153333333333334,0.6228888888888889,0.5846666666666667,0.468,0.5255555555555556,0.9372222222222222,0.9413333333333334,0.23688888888888887,0.8715555555555556,50,28
0.3794444444444445,0.33311111111111114,0.5431111111111111,0.38799999999999996,0.38011111111111107,0.33311111111111114,0.394,0.38799999999999996,0.3618888888888889,0.36866666666666664,0.4126666666666666,0.3844444444444444,0.8921111111111111,0.87,0.2082222222222222,0.8622222222222222,50,29
0.5278888888888889,0.4202222222222222,0.408,0.5346666666666667,0.5094444444444445,0.4202222222222222,0.5688888888888889,0.5346666666666667,0.44488888888888883,0.3906666666666666,0.4768888888888889,0.5308888888888889,0.9275555555555557,0.8837777777777778,0.2291111111111111,0.894,50,30
0.524188888888889,0.5384666666666666,0.4648777777777778,0.48219999999999996,0.5224055555555556,0.5384666666666666,0.5045000000000001,0.48219999999999996,0.6545777777777778,0.6788500000000001,0.6781444444444444,0.670088888888889,0.9850111111111111,0.9920444444444444,0.8097222222222222,0.8103111111111112,1000,1
0.4952388888888889,0.5036611111111111,0.5502555555555555,0.5418888888888889,0.5012611111111112,0.5036611111111111,0.5169666666666667,0.5418888888888889,0.6416,0.6530833333333332,0.7032777777777778,0.7082111111111111,0.9828833333333333,0.9879388888888889,0.7967222222222222,0.7926888888888888,1000,2
