K,seed,W_s,n_clusters,mean_cluster_size,max_cluster_size,a_ml_sem_ontologia,b_ontologia_sem_related,c_so_network_proximity,d_completo
1000,1,60,13,153.84615384615384,1982,0.5022555555555556,0.5081000000000001,0.7158222222222222,0.9776166666666666
1000,1,120,8,250.0,1982,0.5022555555555556,0.5081000000000001,0.7158222222222222,0.9772555555555555
1000,1,300,4,500.0,1985,0.5022555555555556,0.5081000000000001,0.7158222222222222,0.9758999999999999
1000,1,600,2,1000.0,1999,0.5022555555555556,0.5081000000000001,0.7196944444444444,0.9804611111111111
1000,1,1800,2,1000.0,1999,0.5022555555555556,0.5081000000000001,0.7196944444444444,0.9804611111111111
1000,2,60,19,105.26315789473684,1975,0.4923444444444445,0.49050555555555553,0.67035,0.9757666666666667
1000,2,120,16,125.0,1979,0.4923444444444445,0.49050555555555553,0.6682833333333335,0.9769888888888889
1000,2,300,11,181.8181818181818,1987,0.4923444444444445,0.49050555555555553,0.6682833333333335,0.9757555555555556
1000,2,600,5,400.0,1993,0.4923444444444445,0.49050555555555553,0.6658000000000001,0.9747555555555555
1000,2,1800,4,500.0,1997,0.4923444444444445,0.49050555555555553,0.6683222222222223,0.9751055555555557
1000,3,60,12,166.66666666666666,1974,0.47164999999999996,0.4820944444444445,0.6234388888888889,0.97865
1000,3,120,5,400.0,1991,0.47164999999999996,0.4820944444444445,0.6234388888888889,0.9792944444444445
1000,3,300,4,500.0,1995,0.47164999999999996,0.4820944444444445,0.6234388888888889,0.9806777777777778
1000,3,600,3,666.6666666666666,1995,0.47164999999999996,0.4820944444444445,0.6234388888888889,0.9798555555555555
1000,3,1800,1,2000.0,2000,0.47164999999999996,0.4820944444444445,0.6256,0.9798444444444444
1000,4,60,12,166.66666666666666,1984,0.5191166666666667,0.5197666666666667,0.6341166666666666,0.9774944444444446
1000,4,120,9,222.22222222222223,1984,0.5191166666666667,0.5197666666666667,0.6341166666666666,0.9765388888888888
1000,4,300,5,400.0,1996,0.5191166666666667,0.5197666666666667,0.6351055555555556,0.9803277777777777
1000,4,600,3,666.6666666666666,1998,0.5191166666666667,0.5197666666666667,0.6351055555555556,0.9824666666666667
1000,4,1800,2,1000.0,1999,0.5191166666666667,0.5197666666666667,0.6351055555555556,0.9813555555555556
1000,5,60,13,153.84615384615384,1984,0.5015277777777778,0.4964166666666666,0.6273,0.9754611111111111
1000,5,120,11,181.8181818181818,1984,0.5015277777777778,0.4964166666666666,0.6273,0.9758277777777777
1000,5,300,5,400.0,1994,0.5015277777777778,0.4964166666666666,0.6273,0.9742055555555555
1000,5,600,4,500.0,1996,0.5015277777777778,0.4964166666666666,0.627872222222222,0.9760722222222222
1000,5,1800,3,666.6666666666666,1998,0.5015277777777778,0.4964166666666666,0.627872222222222,0.9780888888888889
1000,6,60,18,111.11111111111111,1979,0.5039388888888888,0.5006833333333333,0.66725,0.9632111111111111
1000,6,120,14,142.85714285714286,1984,0.5039388888888888,0.5006833333333333,0.66725,0.9628611111111112
1000,6,300,9,222.22222222222223,1987,0.5039388888888888,0.5006833333333333,0.6721666666666667,0.9644555555555555
1000,6,600,6,333.3333333333333,1993,0.5039388888888888,0.5006833333333333,0.6689055555555555,0.9637666666666667
1000,6,1800,3,666.6666666666666,1998,0.5039388888888888,0.5006833333333333,0.6635166666666668,0.9638777777777778
1000,7,60,20,100.0,1974,0.5734111111111111,0.5651666666666665,0.6819111111111111,0.9782277777777777
1000,7,120,11,181.8181818181818,1981,0.5734111111111111,0.5651666666666665,0.6772888888888889,0.9781333333333334
1000,7,300,8,250.0,1991,0.5734111111111111,0.5651666666666665,0.6754333333333332,0.9795055555555555
1000,7,600,6,333.3333333333333,1991,0.5734111111111111,0.5651666666666665,0.6754333333333332,0.9802722222222222
1000,7,1800,4,500.0,1997,0.5734111111111111,0.5651666666666665,0.678211111111111,0.9791555555555556
1000,8,60,18,111.11111111111111,1965,0.4841722222222223,0.49115555555555557,0.6901444444444444,0.9770444444444444
1000,8,120,11,181.8181818181818,1978,0.4841722222222223,0.49115555555555557,0.685988888888889,0.9791500000000001
1000,8,300,4,500.0,1991,0.4841722222222223,0.49115555555555557,0.6852277777777778,0.9763722222222223
1000,8,600,3,666.6666666666666,1997,0.4841722222222223,0.49115555555555557,0.6845000000000001,0.9774166666666666
1000,8,1800,2,1000.0,1999,0.4841722222222223,0.49115555555555557,0.6845000000000001,0.9782666666666666
1000,9,60,14,142.85714285714286,1983,0.4874055555555555,0.49657222222222225,0.6698333333333333,0.9815055555555555
1000,9,120,10,200.0,1986,0.4874055555555555,0.49657222222222225,0.6698333333333333,0.9814777777777778
1000,9,300,5,400.0,1994,0.4874055555555555,0.49657222222222225,0.6698333333333333,0.9818944444444444
1000,9,600,4,500.0,1994,0.4874055555555555,0.49657222222222225,0.6698333333333333,0.9818944444444444
1000,9,1800,3,666.6666666666666,1998,0.4874055555555555,0.49657222222222225,0.6698333333333333,0.9810388888888889
1000,10,60,18,111.11111111111111,1974,0.5169444444444444,0.5264888888888889,0.6645833333333333,0.9797888888888888
1000,10,120,11,181.8181818181818,1979,0.5169444444444444,0.5264888888888889,0.6645833333333333,0.9794444444444445
1000,10,300,7,285.7142857142857,1990,0.5169444444444444,0.5264888888888889,0.6665833333333334,0.9815833333333331
1000,10,600,4,500.0,1996,0.5169444444444444,0.5264888888888889,0.6647500000000001,0.98065
1000,10,1800,3,666.6666666666666,1998,0.5169444444444444,0.5264888888888889,0.6647500000000001,0.9801777777777777
