surgical,global,ja4_in_scope,scope_keys,cluster_attack_frac,cluster_size,scenario,p,botnet_ja4
0.75,1.0,True,endpoint+tlsJa4,0.5012531328320802,1995,K1000_seed30,0.75,t13d1516h2_synth_001e
0.9,1.0,True,endpoint+tlsJa4,0.5012531328320802,1995,K1000_seed30,0.9,t13d1516h2_synth_001e
0.0,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.0,t13d1516h2_synth_0004
0.001,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.001,t13d1516h2_synth_0004
0.005,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.005,t13d1516h2_synth_0004
0.01,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.01,t13d1516h2_synth_0004
0.05,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.05,t13d1516h2_synth_0004
0.1,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.1,t13d1516h2_synth_0004
0.25,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.25,t13d1516h2_synth_0004
0.5,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.5,t13d1516h2_synth_0004
0.75,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.75,t13d1516h2_synth_0004
0.9,1.0,True,endpoint+tlsJa4,0.500501002004008,1996,K1000_seed4,0.9,t13d1516h2_synth_0004
0.0,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.0,t13d1516h2_synth_0005
0.001,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.001,t13d1516h2_synth_0005
0.005,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.005,t13d1516h2_synth_0005
0.01,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.01,t13d1516h2_synth_0005
0.05,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.05,t13d1516h2_synth_0005
0.1,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.1,t13d1516h2_synth_0005
0.25,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.25,t13d1516h2_synth_0005
0.5,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.5,t13d1516h2_synth_0005
0.75,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.75,t13d1516h2_synth_0005
0.9,1.0,True,endpoint+tlsJa4,0.5005015045135406,1994,K1000_seed5,0.9,t13d1516h2_synth_0005
0.0,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.0,t13d1516h2_synth_0006
0.001,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.001,t13d1516h2_synth_0006
0.005,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.005,t13d1516h2_synth_0006
0.01,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.01,t13d1516h2_synth_0006
0.05,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.05,t13d1516h2_synth_0006
0.1,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.1,t13d1516h2_synth_0006
0.25,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.25,t13d1516h2_synth_0006
0.5,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.5,t13d1516h2_synth_0006
0.75,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.75,t13d1516h2_synth_0006
0.9,1.0,True,endpoint+tlsJa4,0.501761449421238,1987,K1000_seed6,0.9,t13d1516h2_synth_0006
0.0,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.0,t13d1516h2_synth_0007
0.001,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.001,t13d1516h2_synth_0007
0.005,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.005,t13d1516h2_synth_0007
0.01,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.01,t13d1516h2_synth_0007
0.05,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.05,t13d1516h2_synth_0007
0.1,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.1,t13d1516h2_synth_0007
0.25,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.25,t13d1516h2_synth_0007
0.5,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.5,t13d1516h2_synth_0007
0.75,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.75,t13d1516h2_synth_0007
0.9,1.0,True,endpoint+tlsJa4,0.5007533902561527,1991,K1000_seed7,0.9,t13d1516h2_synth_0007
0.0,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.0,t13d1516h2_synth_0008
0.001,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.001,t13d1516h2_synth_0008
0.005,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.005,t13d1516h2_synth_0008
0.01,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.01,t13d1516h2_synth_0008
0.05,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.05,t13d1516h2_synth_0008
0.1,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.1,t13d1516h2_synth_0008
0.25,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.25,t13d1516h2_synth_0008
0.5,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.5,t13d1516h2_synth_0008
0.75,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.75,t13d1516h2_synth_0008
0.9,1.0,True,endpoint+tlsJa4,0.5012556504269211,1991,K1000_seed8,0.9,t13d1516h2_synth_0008
0.0,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.0,t13d1516h2_synth_0009
0.001,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.001,t13d1516h2_synth_0009
0.005,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.005,t13d1516h2_synth_0009
0.01,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.01,t13d1516h2_synth_0009
0.05,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.05,t13d1516h2_synth_0009
0.1,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.1,t13d1516h2_synth_0009
0.25,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.25,t13d1516h2_synth_0009
0.5,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.5,t13d1516h2_synth_0009
0.75,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.75,t13d1516h2_synth_0009
0.9,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed9,0.9,t13d1516h2_synth_0009
