a_ml_sem_ontologia,b_ontologia_sem_related,c_so_network_proximity,d_completo,base:fernandes2015,base:bharathi2012,base:kemp2023,K,seed
0.4557777777777778,0.5427777777777778,0.5245555555555556,1.0,0.5097777777777778,0.46933333333333327,0.44311111111111107,50,1
0.4873333333333333,0.47744444444444445,0.4561111111111111,0.9473333333333334,0.5166666666666666,0.5239999999999999,0.5075555555555555,50,2
0.5291111111111111,0.5106666666666666,0.49777777777777776,0.9866666666666667,0.665111111111111,0.6666666666666667,0.5315555555555556,50,3
0.40111111111111114,0.45799999999999996,0.4275555555555555,0.9095555555555557,0.42422222222222217,0.4297777777777778,0.4331111111111111,50,4
0.4692222222222222,0.447,0.4781111111111111,0.9465555555555556,0.5297777777777777,0.5535555555555556,0.48444444444444446,50,5
0.5871111111111111,0.6258888888888889,0.5776666666666667,0.9514444444444445,0.6148888888888888,0.6297777777777778,0.5513333333333333,50,6
0.4221111111111111,0.4364444444444444,0.44533333333333336,0.9008888888888889,0.5908888888888889,0.606,0.42177777777777775,50,7
0.585,0.5508888888888889,0.5253333333333333,1.0,0.5457777777777778,0.5393333333333333,0.556,50,8
0.554,0.5632222222222223,0.5537777777777778,0.9527777777777777,0.42133333333333334,0.41755555555555546,0.5491111111111111,50,9
0.4882222222222222,0.4925555555555555,0.5415555555555556,1.0,0.41355555555555557,0.4068888888888889,0.48,50,10
0.6211111111111112,0.5943333333333333,0.6087777777777776,1.0,0.4497777777777778,0.4826666666666667,0.6304444444444445,50,11
0.5483333333333333,0.5652222222222222,0.5617777777777778,1.0,0.5364444444444444,0.536888888888889,0.5613333333333334,50,12
0.5015555555555556,0.5653333333333334,0.5886666666666667,0.9445555555555556,0.5162222222222221,0.504,0.4917777777777778,50,13
0.5527777777777778,0.538,0.5211111111111111,0.9827777777777778,0.5022222222222221,0.496,0.5484444444444444,50,14
0.5122222222222222,0.5211111111111111,0.538,1.0,0.5760000000000001,0.5857777777777777,0.5133333333333334,50,15
0.6556666666666666,0.6004444444444444,0.549,1.0,0.5637777777777778,0.46822222222222226,0.6455555555555555,50,16
0.513888888888889,0.5572222222222223,0.5526666666666666,0.9956666666666667,0.5146666666666667,0.44955555555555554,0.5153333333333333,50,17
0.5935555555555556,0.6025555555555555,0.6124444444444443,0.9428888888888889,0.5253333333333333,0.46422222222222226,0.5971111111111111,50,18
0.49311111111111106,0.49955555555555553,0.5147777777777778,1.0,0.5217777777777777,0.5408888888888889,0.5015555555555555,50,19
0.5001111111111111,0.5485555555555556,0.4816666666666667,0.9513333333333334,0.4413333333333333,0.4522222222222222,0.5186666666666667,50,20
0.6135555555555555,0.6311111111111112,0.5944444444444446,1.0,0.5511111111111111,0.5482222222222222,0.611111111111111,50,21
0.6814444444444445,0.6667777777777777,0.6481111111111111,0.9867777777777778,0.5653333333333334,0.5471111111111111,0.6886666666666668,50,22
0.46199999999999997,0.4312222222222222,0.44777777777777783,0.9504444444444444,0.41244444444444445,0.3448888888888889,0.4562222222222222,50,23
0.48455555555555563,0.4613333333333333,0.5306666666666667,0.9451111111111112,0.5766666666666667,0.5728888888888889,0.4975555555555556,50,24
0.4892222222222223,0.43933333333333335,0.46244444444444444,0.9533333333333333,0.5953333333333334,0.6348888888888888,0.44422222222222224,50,25
0.38611111111111107,0.3924444444444445,0.3913333333333333,0.9207777777777777,0.4137777777777778,0.48377777777777775,0.396,50,26
0.46322222222222226,0.4846666666666666,0.5312222222222223,0.9238888888888888,0.538888888888889,0.5391111111111111,0.4824444444444444,50,27
0.5224444444444445,0.5277777777777777,0.5136666666666667,0.992111111111111,0.61,0.6413333333333333,0.4953333333333333,50,28
0.5218888888888888,0.5462222222222223,0.5407777777777778,0.9923333333333335,0.5713333333333334,0.5124444444444444,0.5226666666666666,50,29
0.489,0.544888888888889,0.4738888888888889,0.9607777777777777,0.3793333333333333,0.45866666666666667,0.5048888888888888,50,30
0.5022555555555556,0.5081000000000001,0.7158222222222222,0.9758999999999999,0.5154555555555556,0.5241777777777779,0.5001444444444444,1000,1
0.4923444444444445,0.49050555555555553,0.6682833333333335,0.9757555555555556,0.49155555555555563,0.4980555555555556,0.4923444444444445,1000,2
0.47164999999999996,0.4820944444444445,0.6234388888888889,0.9806777777777778,0.48633333333333334,0.4646444444444444,0.4713277777777778,1000,3
0.5191166666666667,0.5197666666666667,0.6351055555555556,0.9803277777777777,0.45593333333333336,0.4528888888888889,0.5201388888888889,1000,4
0.5015277777777778,0.4964166666666666,0.6273,0.9742055555555555,0.5111777777777777,0.5158555555555555,0.49922222222222223,1000,5
0.5039388888888888,0.5006833333333333,0.6721666666666667,0.9644555555555555,0.48710000000000003,0.4855111111111111,0.5037888888888888,1000,6
0.5734111111111111,0.5651666666666665,0.6754333333333332,0.9795055555555555,0.500088888888889,0.511,0.5734111111111111,1000,7
0.4841722222222223,0.49115555555555557,0.6852277777777778,0.9763722222222223,0.5370333333333333,0.5062666666666666,0.4840555555555555,1000,8
0.4874055555555555,0.49657222222222225,0.6698333333333333,0.9818944444444444,0.49073333333333335,0.5161888888888888,0.48501111111111106,1000,9
0.5169444444444444,0.5264888888888889,0.6665833333333334,0.9815833333333331,0.49635555555555555,0.5044888888888889,0.5164777777777778,1000,10
0.4907222222222223,0.49677777777777776,0.6929444444444444,0.9804055555555554,0.4898888888888888,0.5039333333333333,0.4946055555555556,1000,11
0.4723611111111111,0.4774555555555555,0.6808944444444445,0.9739777777777778,0.5144444444444445,0.5037333333333334,0.47208888888888895,1000,12
0.4597888888888889,0.4509722222222222,0.6355333333333333,0.9726500000000001,0.5463111111111111,0.5471333333333334,0.45840000000000003,1000,13
0.5315055555555556,0.5321444444444444,0.7206888888888889,0.9781055555555555,0.5104111111111111,0.5171222222222223,0.5309777777777778,1000,14
0.4961055555555556,0.4859111111111111,0.6678722222222222,0.9806,0.4982333333333334,0.4908,0.49054444444444445,1000,15
0.5268611111111111,0.5274055555555556,0.6824666666666667,0.9746611111111112,0.49573333333333347,0.49596666666666667,0.5276444444444445,1000,16
0.5315,0.527538888888889,0.6509055555555555,0.9698111111111112,0.4841111111111111,0.4885333333333334,0.5309222222222223,1000,17
0.5095222222222222,0.49895,0.679238888888889,0.9778222222222223,0.4853111111111111,0.48669999999999997,0.5100333333333333,1000,18
0.51315,0.5115944444444445,0.646561111111111,0.9735055555555557,0.4805666666666667,0.47914444444444443,0.5136166666666666,1000,19
0.4810888888888889,0.49060000000000004,0.6932611111111111,0.9759111111111112,0.4732555555555556,0.48214444444444443,0.481,1000,20
0.5112833333333333,0.4903944444444444,0.6461722222222223,0.9688499999999999,0.5184444444444445,0.5241777777777779,0.5120222222222222,1000,21
