a_ml_sem_ontologia,c_so_network_proximity,d_completo,ja4_share,jitter,seed
0.5013222222222222,0.5464000000000001,1.0,1.0,0.0,1
0.5167888888888889,0.5555555555555555,1.0,1.0,0.0,2
0.49707777777777773,0.5286777777777778,1.0,1.0,0.0,3
0.5025444444444445,0.5745444444444445,1.0,1.0,0.0,4
0.4952555555555555,0.5495222222222221,1.0,1.0,0.0,5
0.5129222222222222,0.583011111111111,1.0,1.0,0.0,6
0.5199888888888888,0.5905,1.0,1.0,0.0,7
0.4892777777777777,0.5511,1.0,1.0,0.0,8
0.5071333333333334,0.5661222222222224,1.0,1.0,0.0,9
0.4969555555555555,0.5677777777777777,1.0,1.0,0.0,10
0.5013222222222222,0.5464000000000001,1.0,1.0,0.5,1
0.5167888888888889,0.5555555555555555,1.0,1.0,0.5,2
0.49707777777777773,0.5286777777777778,1.0,1.0,0.5,3
0.5025444444444445,0.5745444444444445,1.0,1.0,0.5,4
0.4952555555555555,0.5495222222222221,1.0,1.0,0.5,5
0.5129222222222222,0.583011111111111,1.0,1.0,0.5,6
0.5199888888888888,0.5905,1.0,1.0,0.5,7
0.4892777777777777,0.5511,1.0,1.0,0.5,8
0.5071333333333334,0.5661222222222224,1.0,1.0,0.5,9
0.4969555555555555,0.5677777777777777,1.0,1.0,0.5,10
0.5013222222222222,0.5464000000000001,1.0,1.0,1.0,1
0.5167888888888889,0.5555555555555555,1.0,1.0,1.0,2
0.49707777777777773,0.5286777777777778,1.0,1.0,1.0,3
0.5025444444444445,0.5745444444444445,1.0,1.0,1.0,4
0.4952555555555555,0.5495222222222221,1.0,1.0,1.0,5
0.5129222222222222,0.583011111111111,1.0,1.0,1.0,6
0.5199888888888888,0.5905,1.0,1.0,1.0,7
0.4892777777777777,0.5511,1.0,1.0,1.0,8
0.5071333333333334,0.5661222222222224,1.0,1.0,1.0,9
0.4969555555555555,0.5677777777777777,1.0,1.0,1.0,10
0.4876000000000001,0.5626888888888889,0.9502888888888888,0.75,0.0,1
0.48992222222222226,0.5696777777777777,0.934377777777778,0.75,0.0,2
0.4841333333333333,0.5765,0.9568333333333333,0.75,0.0,3
0.5014555555555557,0.5599333333333334,0.938311111111111,0.75,0.0,4
0.5042333333333332,0.5667444444444444,0.9384555555555556,0.75,0.0,5
0.48756666666666665,0.5825111111111111,0.9317333333333334,0.75,0.0,6
0.4970777777777778,0.5660333333333333,0.9477,0.75,0.0,7
0.5256555555555557,0.5493777777777779,0.9357000000000001,0.75,0.0,8
0.49537777777777775,0.5756777777777778,0.9294111111111111,0.75,0.0,9
0.49934444444444454,0.581,0.9293,0.75,0.0,10
0.4876000000000001,0.5626888888888889,0.9502888888888888,0.75,0.5,1
0.48992222222222226,0.5696777777777777,0.934377777777778,0.75,0.5,2
0.4841333333333333,0.5765,0.9568333333333333,0.75,0.5,3
0.5014555555555557,0.5599333333333334,0.938311111111111,0.75,0.5,4
0.5042333333333332,0.5667444444444444,0.9384555555555556,0.75,0.5,5
0.48756666666666665,0.5825111111111111,0.9317333333333334,0.75,0.5,6
0.4970777777777778,0.5660333333333333,0.9477,0.75,0.5,7
0.5256555555555557,0.5493777777777779,0.9357000000000001,0.75,0.5,8
0.49537777777777775,0.5756777777777778,0.9294111111111111,0.75,0.5,9
0.49934444444444454,0.581,0.9293,0.75,0.5,10
0.4876000000000001,0.5626888888888889,0.9502888888888888,0.75,1.0,1
0.48992222222222226,0.5696777777777777,0.934377777777778,0.75,1.0,2
0.4841333333333333,0.5765,0.9568333333333333,0.75,1.0,3
0.5014555555555557,0.5599333333333334,0.938311111111111,0.75,1.0,4
0.5042333333333332,0.5667444444444444,0.9384555555555556,0.75,1.0,5
0.48756666666666665,0.5825111111111111,0.9317333333333334,0.75,1.0,6
0.4970777777777778,0.5660333333333333,0.9477,0.75,1.0,7
0.5256555555555557,0.5493777777777779,0.9357000000000001,0.75,1.0,8
0.49537777777777775,0.5756777777777778,0.9294111111111111,0.75,1.0,9
0.49934444444444454,0.581,0.9293,0.75,1.0,10
0.488988888888889,0.553911111111111,0.8661666666666668,0.5,0.0,1
0.5207333333333334,0.5893333333333333,0.8941111111111112,0.5,0.0,2
0.47807777777777777,0.5654333333333335,0.8964333333333333,0.5,0.0,3
0.5014555555555555,0.5559666666666668,0.8607222222222222,0.5,0.0,4
0.5245111111111112,0.6139888888888888,0.8733000000000001,0.5,0.0,5
0.4911222222222222,0.6022777777777778,0.8812333333333331,0.5,0.0,6
0.5127888888888888,0.5895444444444444,0.9044444444444445,0.5,0.0,7
0.5026555555555555,0.5984111111111111,0.8895777777777778,0.5,0.0,8
0.5179,0.6281777777777778,0.8900999999999999,0.5,0.0,9
0.5126333333333333,0.5734444444444444,0.8704333333333333,0.5,0.0,10
0.488988888888889,0.553911111111111,0.8661666666666668,0.5,0.5,1
0.5207333333333334,0.5893333333333333,0.8941111111111112,0.5,0.5,2
0.47807777777777777,0.5654333333333335,0.8964333333333333,0.5,0.5,3
0.5014555555555555,0.5559666666666668,0.8607222222222222,0.5,0.5,4
0.5245111111111112,0.6139888888888888,0.8733000000000001,0.5,0.5,5
0.4911222222222222,0.6022777777777778,0.8812333333333331,0.5,0.5,6
0.5127888888888888,0.5895444444444444,0.9044444444444445,0.5,0.5,7
0.5026555555555555,0.5984111111111111,0.8895777777777778,0.5,0.5,8
0.5179,0.6281777777777778,0.8900999999999999,0.5,0.5,9
0.5126333333333333,0.5734444444444444,0.8704333333333333,0.5,0.5,10
0.488988888888889,0.553911111111111,0.8661666666666668,0.5,1.0,1
0.5207333333333334,0.5893333333333333,0.8941111111111112,0.5,1.0,2
0.47807777777777777,0.5654333333333335,0.8964333333333333,0.5,1.0,3
0.5014555555555555,0.5559666666666668,0.8607222222222222,0.5,1.0,4
0.5245111111111112,0.6139888888888888,0.8733000000000001,0.5,1.0,5
0.4911222222222222,0.6022777777777778,0.8812333333333331,0.5,1.0,6
0.5127888888888888,0.5895444444444444,0.9044444444444445,0.5,1.0,7
0.5026555555555555,0.5984111111111111,0.8895777777777778,0.5,1.0,8
0.5179,0.6281777777777778,0.8900999999999999,0.5,1.0,9
0.5126333333333333,0.5734444444444444,0.8704333333333333,0.5,1.0,10
0.5174444444444444,0.6002777777777778,0.8294,0.25,0.0,1
0.4827666666666666,0.5286222222222222,0.7699444444444444,0.25,0.0,2
0.4712666666666666,0.5786999999999999,0.8083333333333333,0.25,0.0,3
0.5116777777777778,0.610111111111111,0.8438,0.25,0.0,4
0.5044444444444445,0.6184444444444445,0.8017777777777778,0.25,0.0,5
0.48681111111111114,0.5895333333333334,0.8035111111111111,0.25,0.0,6
0.5534333333333333,0.5872222222222223,0.8282999999999999,0.25,0.0,7
0.4947,0.5293222222222222,0.7758555555555555,0.25,0.0,8
0.5069666666666667,0.6133333333333334,0.8286333333333333,0.25,0.0,9
0.4907222222222223,0.5383000000000001,0.7948666666666667,0.25,0.0,10
0.5174444444444444,0.6002777777777778,0.8294,0.25,0.5,1
0.4827666666666666,0.5286222222222222,0.7699444444444444,0.25,0.5,2
0.4712666666666666,0.5786999999999999,0.8083333333333333,0.25,0.5,3
0.5116777777777778,0.610111111111111,0.8438,0.25,0.5,4
0.5044444444444445,0.6184444444444445,0.8017777777777778,0.25,0.5,5
0.48681111111111114,0.5895333333333334,0.8035111111111111,0.25,0.5,6
0.5534333333333333,0.5872222222222223,0.8282999999999999,0.25,0.5,7
